Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
14:4	r104		rc://*/ta/man/translate/figs-metaphor	οἱ ἠγορασμένοι		1	See how you translated this in [14:3](../14/03.md). Alternate translation: “whom the Lamb redeemed”
16:8	r141		rc://*/ta/man/translate/figs-gendernotations	οἱ ἄνθρωποι		1	Although the term **men** is masculine, John is using the word in a generic sense that includes both men and women. If it would be helpful to your readers, you could use a term in your language that is clearly inclusive of both men and women. Alternate translation: “people”
18:24	r252		rc://*/ta/man/translate/figs-explicit	ἐν αὐτῇ αἷμα & εὑρέθη προφητῶν		1	The implication is that this **blood** is evidence that Babylon is guilty of killing the **prophets and saints**. You can provide this information in your translation if that would be helpful to your readers. Alternate translation: “she was clearly guilty of killing prophets”
