Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:8	ayy1			Connecting Statement:		0	# Connecting Statement:\n\nPaul begins his plea and the reason for his letter.
1:22	xpn6		rc://*/ta/man/checking/headings	Connecting Statement:		0	# Connecting Statement:\n\nHere Paul closes his letter and gives final instruction to Philemon and a blessing on Philemon and on the believers that met for church in Philemon’s house. If you are using section headings, you could put one here before verse 22. Suggested heading: “Final Instruction and Blessing”
