Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
3:17	hdro		rc://*/ta/man/translate/figs-activepassive	εὐδοκέω		1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “who pleases me”
7:16	pul5		rc://*/ta/man/translate/figs-exmetaphor	ἀπὸ τῶν καρπῶν αὐτῶν ἐπιγνώσεσθε αὐτούς. μήτι συλλέγουσιν ἀπὸ ἀκανθῶν σταφυλὰς, ἢ ἀπὸ τριβόλων σῦκα?		1	Here Jesus speaks of people as if they were plants that produced **fruits**. Just as thorny plants do not produce **fruits**, so evil people who do not trust God do not do what is right. Jesus uses this metaphor for several verses, so you should preserve the figure of speech or use simile form. Alternate translation: “You will know who people are by what they do, just as you know what plants are by their fruits. They do not gather grapes from a thornbush or figs from thistles, do they? Similarly, evil people do not do what is right, do they”
13:50	j8nf			καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ πυρός. ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων		1	This verse is identical to [13:42](../13/42.md), so express the idea as you did there. Make sure that your translation still fits the context of this verse.
16:2-3	ubk7		rc://*/ta/man/translate/translate-textvariants	ὀψίας γενομένης λέγετε, εὐδία; πυρράζει γὰρ ὁ οὐρανός. & καὶ πρωΐ, σήμερον χειμών; πυρράζει γὰρ στυγνάζων ὁ οὐρανός. τὸ μὲν πρόσωπον τοῦ οὐρανοῦ γινώσκετε διακρίνειν τὰ δὲ σημεῖα τῶν καιρῶν οὐ δύνασθε?		1	See the discussion of textual issues at the end of the General Notes to this chapter to decide whether to include [16:2b–3](../16/02.md) in your translation. The notes below discuss translation issues in these verses, for those who decide to include them.
20:13	b3fs		rc://*/ta/man/translate/figs-quotesinquotes	ἑνὶ αὐτῶν εἶπεν, ἑταῖρε, οὐκ ἀδικῶ σε. οὐχὶ δηναρίου συνεφώνησάς μοι?		1	Alternate translation: “called one of them friend and said to him that he was not wronging him and that he agreed with him for a denarius.”
20:13	y6zz		rc://*/ta/man/translate/figs-yousingular	σε. οὐχὶ & συνεφώνησάς		1	Because the master of the house is speaking to one of the workers, the word **you** throughout this verse is singular.
23:14	onan		rc://*/ta/man/translate/translate-textvariants	οὐαὶ δὲ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι, ὑποκριταί! ὅτι κατεσθίετε τὰς οἰκίας τῶν χηρῶν, καὶ προφάσει μακρὰ προσευχόμενοι. διὰ τοῦτο λήμψεσθε περισσότερον κρίμα		1	See the discussion of textual issues at the end of the General Notes to this chapter to decide whether to include this verse in your translation. The notes below discuss translation issues in this verse, for those who decide to include it.
23:14	y6yc		rc://*/ta/man/translate/grammar-connect-logic-result	οὐαὶ & ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι, ὑποκριταί! ὅτι κατεσθίετε τὰς οἰκίας τῶν χηρῶν, καὶ προφάσει μακρὰ προσευχόμενοι. διὰ τοῦτο λήμψεσθε περισσότερον κρίμα		1	If it would be more natural in your language, you could reverse the order of these sentences, since the second and third sentences give the reason for the result that the first sentence describes. Alternate translation: “you, scribes and Pharisees, devour the houses of widows, and for a pretext praying at length. For this reason, you will receive greater judgment. So woe to you, hypocrites!”
