Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
7:26	kyde		rc://*/ta/man/translate/figs-quotesinquotes	εἰπών, ἄνδρες, ἀδελφοί ἐστε. ἱνα τί ἀδικεῖτε ἀλλήλους?		1	If the direct quotation inside a direct quotation would be confusing in your language, you could translate the second direct quotation as an indirect quotation. Alternate translation: “telling them that they were brothers and asking them why they were hurting each other”
7:44	fs4q			Connecting Statement:		0	# Connecting Statement:\n\nStephen continues his response to the high priest and the council which he began in [Acts 7:2](../07/02.md).
11:1	f1md		rc://*/ta/man/translate/figs-metaphor	οἱ & ἀδελφοὶ		2	Luke is using the term **brothers** to mean people who share the same faith. Alternate translation, as in UST: “the other believers”
13:27	m4tz		rc://*/ta/man/translate/figs-activepassive	τὰς & ἀναγινωσκομένας		2	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “that someone reads”
13:27	i6jo		rc://*/ta/man/translate/figs-explicit	τὰς & ἀναγινωσκομένας		2	Paul is referring implicitly to the way that someone reads from the writings of **the prophets** on each **Sabbath** in the synagogues. Alternate translation: “that someone reads aloud in each synagogue”
28:11	jc5t		rc://*/ta/man/translate/translate-names	παρασήμῳ Διοσκούροι		1	The word **Dioscouri** is the name of two false gods, Castor and Pollux, whom some sailors considered to be their patron gods. The name means “Sons of Zeus” in Greek. Alternate translation: “with Castor and Pollux as their figurehead”
28:11	a636		rc://*/ta/man/translate/translate-unknown	παρασήμῳ Διοσκούροι		1	A **figurehead** was an image of a god, human being, animal, or object that was painted or sculpted on the prow (front) of a ship as a good luck token. If your readers would not be familiar with this, you could use a general expression in your translation. Alternate translation: “with images of Castor and Pollux sculpted on the prow”
