Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
3:9-10	pzq7		rc://*/ta/man/translate/figs-rquestion	τίνα γὰρ εὐχαριστίαν δυνάμεθα τῷ Θεῷ ἀνταποδοῦναι περὶ ὑμῶν, ἐπὶ πάσῃ τῇ χαρᾷ ᾗ χαίρομεν δι’ ὑμᾶς, ἔμπροσθεν τοῦ Θεοῦ ἡμῶν. νυκτὸς καὶ ἡμέρας, ὑπέρἐκπερισσοῦ δεόμενοι εἰς τὸ ἰδεῖν ὑμῶν τὸ πρόσωπον, καὶ καταρτίσαι τὰ ὑστερήματα τῆς πίστεως ὑμῶν?		1	Here Paul is using the question form to show the Thessalonians how thankful he is that they continue to trust God. If you would not use the question form for this purpose in your language, you could translate this one as a statement or an exclamation. Alternate translation: “For we give back to God very many thanks concerning you for all the joy with which we rejoice before our God because of you, night and day pleading earnestly to see your face and to provide what is lacking in your faith!”
3:11-13	tet9		rc://*/ta/man/translate/translate-blessing	αὐτὸς δὲ ὁ Θεὸς καὶ Πατὴρ ἡμῶν, καὶ ὁ Κύριος ἡμῶν, Ἰησοῦς, κατευθύναι τὴν ὁδὸν ἡμῶν πρὸς ὑμᾶς. ὑμᾶς δὲ ὁ Κύριος πλεονάσαι καὶ περισσεύσαι τῇ ἀγάπῃ εἰς ἀλλήλους, καὶ εἰς πάντας, καθάπερ καὶ ἡμεῖς εἰς ὑμᾶς; εἰς τὸ στηρίξαι ὑμῶν τὰς καρδίας, ἀμέμπτους ἐν ἁγιωσύνῃ ἔμπροσθεν τοῦ Θεοῦ καὶ Πατρὸς ἡμῶν, ἐν τῇ παρουσίᾳ τοῦ Κυρίου ἡμῶν, Ἰησοῦ, μετὰ πάντων τῶν ἁγίων αὐτοῦ. ἀμήν!		1	Here Paul is asking God to bless the Thessalonians. You could express this as either a blessing or a prayer, in whichever way is more natural in your language. Alternate translation: “But we ask our God and Father himself and our Lord Jesus to direct our way to you. We ask the Lord to make you increase and abound in love for one another and for all, just as we also toward you, to strengthen your hearts, blameless in holiness before our God and Father, at the coming of our Lord Jesus with all his saints. Amen!”
5:5	ddce		rc://*/ta/man/translate/figs-doublet	πάντες & ὑμεῖς υἱοὶ φωτός ἐστε, καὶ υἱοὶ ἡμέρας. οὐκ ἐσμὲν νυκτὸς οὐδὲ σκότους		1	Here, the phrases **sons of the light** and **sons of day** mean basically the same thing. Also, the phrases **of night** and **of darkness** mean basically the same thing. Paul is using these phrases together for emphasis. If it would be clearer for your readers, you could express the emphasis by using a single phrase in each sentence. Alternate translation: “you are all sons of the day. We are not of night” or “you are all sons of the bright day. We are not of the dark night”
