Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:15	sa9n			Some indeed even proclaim Christ		0	Beginning in this verse, and extending to the end of [1:17](../01/17.md), Paul uses a poetic device called chiasm that could be confusing in some languages. You may need to reorder certain things in [1:15–17](../01/15.md) if it would be more natural in your language. See the UST.
3:4	upw5		rc://*/ta/man/translate/figs-hypo	ἐγὼ ἔχων πεποίθησιν καὶ ἐν σαρκί. εἴ τις δοκεῖ ἄλλος πεποιθέναι ἐν σαρκί, ἐγὼ μᾶλλον		1	Using a type of hypothetical situation, Paul recites his own credentials to illustrate that if observing the law could earn God’s favor, then he had more reason to boast than anyone else. His purpose is to teach the Philippian believers that they should only trust in Christ and not trust in other things to earn God’s favor. Paul explains in [3:7–11](../03/07.md) that his hope is in Christ and not in the things he lists in the next two verses. Alternate translation: “We do not trust in those rituals to make us acceptable to God, although I could very well do that if it would be useful for me”
3:9	pbgf		rc://*/ta/man/translate/figs-abstractnouns	τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστε		1	If your language does not use an abstract noun for the idea of **righteousness**, you can express the idea behind the abstract noun **righteousness** in some other way. See how you translated **righteousness** earlier in this verse. Alternate translation: “being pleasing to God by believing in Christ”
3:9	jmqf		rc://*/ta/man/translate/figs-abstractnouns	τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστε		1	If your language does not use an abstract noun for the idea of **faith**, you can express the idea behind **faith** by using a verbal form. See how you translated **faith** earlier in this verse. Alternate translation: “but the righteousness from God, which comes by believing in Christ”
4:6	a443		rc://*/ta/man/translate/figs-abstractnouns	τὰ αἰτήματα ὑμῶν γνωριζέσθω πρὸς τὸν Θεό		1	If your language does not use an abstract noun for the idea of **requests**, you can express the idea behind the abstract noun **requests** in some other way. Alternate translation: “tell God your needs”
