Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:5	tg9w		rc://*/ta/man/translate/figs-metaphor	περισσεύει & ἡ παράκλησις ἡμῶν		2	Here Paul speaks of **comfort** as if it were an object that could increase in size. If it would be helpful in your language, you could express this with a different metaphor or you could state the meaning plainly. Alternate translation: “God comforts us abundantly”
6:16	oc16		rc://*/ta/man/translate/figs-explicit	Θεοῦ & ζῶντος		2	Here, the phrase **the living God** identifies God as the one who lives and possibly as the one who gives life. The primary point is that God is actually alive, unlike idols and other things that people call their gods. If it would be helpful in your language, you could use a word or phrase that emphasizes that God really lives. See how you translated the similar phrase in [3:3](../03/03.md). Alternate translation: “of the God who lives” or “of the true God”
10:14	ctjf		rc://*/ta/man/translate/figs-explicit	οὐ & ὑπερεκτείνομεν ἑαυτούς		2	Here Paul is indicating that he and his fellow workers have not gone beyond the “limit” that he refers to in [10:13](../10/13.md). Express the idea so that the link to the previous verse is clear. Alternate translation: “we are not going beyond our limit”
11:22	jdq8		rc://*/ta/man/translate/figs-rquestion	Ἑβραῖοί εἰσιν? κἀγώ. Ἰσραηλεῖταί εἰσιν? κἀγώ. σπέρμα Ἀβραάμ εἰσιν? κἀγώ.		1	Paul is using the question form to compare himself to what his opponents claim to be. If you would not use the question form for this purpose in your language, you could translate these questions as comparisons or statements. Alternate translation: “If they are Hebrews, I am also. If they are Israelites, I am also. If they are offspring of Abraham, I am also.” or “When they claim to be Hebrews, so do I. When they claim to be Israelites, so do I. When they claim to be offspring of Abraham, so do I.”
