Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
14:23	xn0s		rc://*/ta/man/translate/figs-ellipsis	אִם־מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ־נַ֔עַל		1	 Abram is leaving out some of the words that in many languages a sentence would need in order to be complete. You could supply these words from later in the sentence if it would be clearer in your language. Alternate translation: “if I take anything from a thread to the strap of a sandal”
14:23	vzf5		rc://*/ta/man/translate/figs-ellipsis	אִם־מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ־נַ֔עַל וְ⁠אִם־אֶקַּ֖ח מִ⁠כָּל־אֲשֶׁר־לָ֑⁠ךְ		1	According to custom, Abram is leaving out the part of his oath that tells what Yahweh will do to him if he does the things that he mentions in his oath. Because of the power of spoken words, people left that part to be understood silently. You could supply these words if it would be clearer and not offensive in your language. Alternate translation: “if from a thread even to the strap of a sandal, or I take from anything that {belongs} to you, may Yahweh punish me severely” or “…may Yahweh strike me dead”
14:23	lbqa		rc://*/ta/man/translate/figs-hyperbole	מִ⁠חוּט֙ וְ⁠עַ֣ד שְׂרֽוֹךְ נַ֔עַל		1	 Abram is mentioning things that are so small and insignificant that no one would want them in order to make the point that he doesn't want anything from the king of Sodom. Alternate translation: “even a thread or the strap from a sandal,” or “even something as small as a piece of string or a sandal strap”
14:23	wb28		rc://*/ta/man/translate/figs-parallelism	וְ⁠אִם אֶקַּ֖ח מִ⁠כָּל		1	This clause emphasizes Abram’s point by repeating the meaning of the previous phrase in different words. Consider what is the best way to emphasize a point in your language. Also, consider whether or not it is better in your language to begin a new sentence here. Alternate translation: “No I will not keep anything”
14:23	ah9p		rc://*/ta/man/translate/figs-infostructure	אֲשֶׁר לָ֑⁠ךְ		1	For some languages, it may be clearer and more natural to put this phrase earlier in this verse and say, “that I will not keep/accept anything that belongs to you or your people, not even something as small as a piece of thread/string or the strap from a sandal.” Do what is best in your language. Alternate translation: “that belongs to you or your people,”
14:23	hns6			וְ⁠לֹ֣א תֹאמַ֔ר		1	Consider whether or not it is better in your language to begin a new sentence here.
14:23	xhbz		rc://*/ta/man/translate/figs-quotesinquotes	אֲנִ֖י הֶעֱשַׁ֥רְתִּי אֶת אַבְרָֽם		1	The Hebrew pronoun that refers here to the king of Sodom is emphatic. Consider what is the best way to communicate that emphasis in your language. Also consider whether it is better in your language to translate this embedded quote as a direct or indirect quote. Alternate translation: “I am the one who made Abram wealthy!”
